t;B1;B2;B3;B4;B5;B6;B7;B8;B9
1.03;1.0128316983411825;1.1969159660244855;1.1177580737761936;0.90357708593775;0.8251818515722975;0.8622310367595745;1.1339629396859177;1.0631596938313819;1.0403478249978546
1.04;1.0109599480415694;1.193784507767584;1.1147576343103214;0.9021088996129177;0.8238410465332666;0.8608046815180134;1.13050816223803;1.0597187443418292;1.0374814570641522
1.05;1.0097858944724591;1.1914439479846954;1.1129751186994181;0.901912423759924;0.8236616171180171;0.8612709287632595;1.1281736919078802;1.0576686289533586;1.0362264724250538
1.06;1.0092946160795253;1.1899111746714417;1.112407807549095;0.9029523378273493;0.8246113072208195;0.8635756636312705;1.1269799165974725;1.0570250830470527;1.036574490735932
1.07;1.0094703881915381;1.1891931139401544;1.1130379062148903;0.9051861898010879;0.8266513480059564;0.8676462645755951;1.126933430292438;1.057786615852519;1.0384982210290463
1.08;1.010295989570107;1.1892853786961515;1.1148316254542041;0.9085638380652632;0.8297359481933321;0.8733917786105208;1.1280252481636104;1.059932634344276;1.041950255365026
1.09;1.0117516784966718;1.1901707215119421;1.1177382257678206;0.9130264337324551;0.833811364682729;0.8807027487373825;1.1302288127214886;1.0634214174518342;1.0468617735721704
1.1;1.0138138916589354;1.191817383068205;1.1216891207373005;0.9185050569469858;0.8388146571727566;0.8894508001985827;1.1334979215674177;1.068188094131976;1.0531412925388008
1.11;1.0164537355923382;1.1941774611938303;1.126597147376985;0.9249191490810775;0.8446722563812096;0.8994881265428868;1.1377647452213682;1.074142810327756;1.0606736114290998
1.12;1.019635365870765;1.1971854615447606;1.1323561322953741;0.932174914683771;0.851298504642465;0.91064705305458;1.142938142550202;1.0811693018726727;1.0693191270801963
1.13;1.0233143809341823;1.200757237225349;1.1388409604331007;0.9401639057912634;0.8585943630444445;0.9227399085962548;1.1489025351041438;1.089124145258351;1.07891375829916
1.14;1.0274365173174678;1.2047899467232057;1.145910062468091;0.9487623371834926;0.8664467860942094;0.9355601146493179;1.1555182333490654;1.0978378410351768;1.089271023965935
1.15;1.0319372433194889;1.2091643892859727;1.1534151899629357;0.9578323023361459;0.8747298321727799;0.9488865826163496;1.162625203431473;1.107120414478788;1.1001900711523345
1.16;1.0367405304752217;1.2137444220932412;1.1611950935903934;0.9672206950796153;0.8833036787520165;0.9624824903600243;1.1700420498234592;1.1167596858937052;1.1114518738409482
1.17;1.041757877061178;1.2183769435803662;1.16906808125796;0.9767584749778959;0.8920139515099673;0.9760941987199815;1.1775655596664973;1.1265198581204376;1.122815063395433
1.18;1.0468893811356337;1.2228968700056628;1.1768417567249971;0.9862640527448849;0.9006948160251271;0.9894576366819431;1.1849775224776131;1.1361498791069495;1.1340253747032212
1.19;1.052025316272696;1.227132189301382;1.1843188270138456;0.9955469541450577;0.9091723237934961;1.0023040148244926;1.1920512363048148;1.1453907330100621;1.1448225833783736
1.2;1.0570484548225079;1.2309097137905545;1.191302253410417;1.0044122758270941;0.9172684814697114;1.014366031931866;1.198558699614992;1.1539831696419056;1.1549473575440148
1.21;1.0618371918557947;1.234061575991392;1.1976009191810555;1.012666021063102;0.9248061236722982;1.0253848734412945;1.2042786440678142;1.161676228380168;1.1641487969902728
1.22;1.0662693319058099;1.236432085008432;1.2030355705980647;1.020121050275303;0.931614347236827;1.035117668610147;1.2090049575157602;1.1682361073994352;1.1721923066833935
1.23;1.0702263143520985;1.2378844657082413;1.2074446843941755;1.0266032825454687;0.9375341746763042;1.043344963222131;1.2125549396735649;1.1734548199312378;1.1788673382373263
1.24;1.0735975876068526;1.2383069641363582;1.2106898780210402;1.0319577241977098;0.9424240597182059;1.0498777084808137;1.2147767930683955;1.1771580407537012;1.1839944889341723
1.25;1.0762848066058104;1.237617824016376;1.2126604841358497;1.0360538851408145;0.9461648337196418;1.0545632646071499;1.2155557789507334;1.1792115728662496;1.1874314592024235
1.26;1.0782055305231852;1.2357687228466077;1.213276960869074;1.0387901791830465;0.9486637242065247;1.05728997516971;1.2148185638251419;1.1795259587608224;1.1890774401126847
1.27;1.0792961397905967;1.2327463933426686;1.2124929006353842;1.040096988809929;0.949857153748227;1.0579899809649072;1.212535437435734;1.1780589138701572;1.1888756265102696
1.28;1.0795137678452833;1.2285723279987337;1.210295520831662;1.0399381970092567;0.9497121388799525;1.0566400958031845;1.2087202767946896;1.1748154517614073;1.1868137129465122
1.29;1.0788371417967575;1.2233006461068132;1.2067046524475888;1.038311130906702;0.9482262386285717;1.0532607387841897;1.2034283354546151;1.169845774279344;1.182922405575683
1.3;1.0772663320017457;1.217014367196672;1.201770368199153;1.0352450034197918;0.9454261313702306;1.0479130835692656;1.196752123560637;1.1632411862727194;1.1772721483543083
1.31;1.0748215077828152;1.2098204602996316;1.1955694932504213;1.030798060341595;0.9413650094358527;1.0406947221439231;1.1888157877092997;1.1551284392037562;1.1699683939821448
